Titulo,Autor,Editorial,Anio,Pais,Prestado
Pequeña empresa: Los primeros pasos. Manual del emprendedor.,CGI,CGI,1991,Argentina,No
Instituto de la investigación de la comunicación social v3: Proyecto de comunicación para la prevención de la desnutrición,UNLP,UNLP,1986,Argentina,No
Instituto de la investigación de la comunicación social v4: Diagnósticos y estrategias de comunicación.,UNLP,UNLP,1984,Argentina,No
"Instituto de la investigación de la comunicación social v5: Comunicación y sociedad, aproximaciones teóricas.",UNLP,UNLP,1987,Argentina,No
"Instituto de la investigación de la comunicación social v1: Estudios sobre la televisión, programación y efectos.",UNLP,UNLP,1987,Argentina,No
La enfermedad y sus metáforas. EL sida y sus metáforas.,"Sontag, S.",Taurus,2005,Argentina,No
El lenguaje y los problemas del conocimiento,"Jakobson, R. ; Barthes, R. ; Moles, A.",Editorial Rodolfo Alonso,1962,Argentina,No
Alma encadenada (Soul on ice),"Cleaver, E.",Siglo XXI,1969,Argentina,No
Rumores: El medio de difusión más antiguo del mundo,"Kapferer, J.",Emecé,1989,Argentina,No
Perón y los medios de comunicación,"Sirvén, P.",Centro Editor de América Latina,1984,Argentina,No
Religiosidad popular en la Argentina,"Chapp, M. ; Iglesias, M. ; Pascual, M. ; Roldán, V. ; Santamaría, D.",Centro Editor de América Latina,1991,Argentina,No
Tres teorías sobre la prensa: en el mundo capitalista,"Siebert, F. ; Peterson, T.",Ediciones la Flor,1967,Argentina,No
"Cultura, comunicación y desarrollo en América Latina","Getino, O.",Edimedios,1984,México,No
Medios de comunicación y cultural popular,"Ford, A. ; Rivera, J. ; Romano, E.",Legasa,1985,Argentina,No
La microempresa en una estrategia de crecimiento,"Lindemboin, J. ; Rofman, A. ; Moreno, G.",CEUR,1989,Argentina,No
Psicoterapia del oprimido,"Moffat, A.",Editorial Liberaría Ecro,1974,Argentina,No
Plan estratégico de desarrollo de Junín,Provincia de Junín,Provincia de Junín,2002,Argentina,No
Programa modular de formación para el sector minero,Intemin,Intemin,1995,Argentina,No
Cómo analizar la gestión social municipal,Secretaría de desarrollo social de la nación,Secretaría de desarrollo social de la nación,1999,Argentina,No
Evaluación del aporte económico de la mujer al desarrollo,"Dixon-Muelle, R. ; Anker, R.",OIT,1989,Chile,No
Promoción de cooperativas y pequeñas unidades productivas dentro del sector de la economía social,OIT,ALCECOOP,1991,Argentina,No
Nuestro cine: Pasolini. Nro 46,Nuestro cine,Nuestro cine,1965,España,No
"Migración y frontera: cinco estudios de casos sobre las fronteras de Argentina, Brasil y Paraguay",OIM,OIM,2003,Argentina,No
La práctica de co-operar: Manual para cooperativas de trabajo,PRONATASS,Ministerio de economía y obras y servicios públicos,1994,Argentina,No
Trabajadores vulnerables y sector informal de lo económico y normativo,"Mezzera, J. ; Vega-Ruiz, M.",OIT,1995,Chile,No
"Programas de empleo transitorio: la experiencia de los barrios bonaerenses. Aspectos conceptuales, metodológicos y operativos.",PNUD,Ministerio de Economía PBA,1999,Argentina,No
Lecturas sobre la exclusión social,"Barrios, P. ; de los Ríos, D. ; Torche, F.",OIT,1996,Chile,No
Comunicación y organización: la organización comunicante y la comunicación organizada,"Bartoli, A.",Paidós,1992,España,No
Observaciones sobre la filosofía de la psicología. Volumen I,"Wittgenstein, L.",UNAM,1997,México,No
Observaciones sobre la filosofía de la psicología. Volumen II,"Wittgenstein, L.",UNAM,1997,México,No
Cooperativas para los incapacitado: su organización y desarrollo,OIT,OIT,1983,Argentina,No
EL gorila invisible y otras maneras en las que nuestra intuición nos engaña,"Chabris, C. ; Simons, D.",Siglo XXI,2011,Argentina,No
¿Por qué no lo dijo antes? Cómo hacerse entender,"Heyman, R.",Granica,1999,España,No
La comunicación global: Cómo consturir la imagen de una empresa,"Regouby, C.",Gestió 2000,1989,España,No
Las transformaciones económicas y sociales en el nuevo orden mundial: situación y perspectivas en la provincia de Buenos Aires,PBA,PBA,1994,Argentina,No
